id,question,reference_answer,language,generated,latency,sbert_cosine
Q1,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a chronic condition.,0.435,1.0000001192092896
Q2,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,Insulin resistance causes high blood sugar.,0.595,1.0
Q3,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels. ,0.522,0.8236082792282104
Q4,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,Insulin resistance causes high blood sugar.,1.107,1.0
Q5,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin. This condition is serious.,1.402,0.7150721549987793
Q6,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels.,0.789,0.8236082792282104
Q7,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin. This condition is serious.,1.377,0.7150721549987793
Q8,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a chronic condition.,0.53,1.0000001192092896
Q9,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes cannot be cured.,1.245,0.8975681066513062
Q10,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels. This condition is serious.,0.575,0.7258129119873047
Q11,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels. ,1.64,0.8236082792282104
Q12,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease.,1.326,0.7932650446891785
Q13,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin. This condition is serious.,1.613,0.7150721549987793
Q14,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,Insulin resistance causes high blood sugar.,0.918,1.0
Q15,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes cannot be cured. See your doctor.,1.383,0.8630331158638
Q16,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,Insulin resistance causes high blood sugar.,1.148,1.0
Q17,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable.,0.931,0.9593093395233154
Q18,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels.,0.707,0.8236082792282104
Q19,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a chronic condition.,0.721,1.0000001192092896
Q20,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes is not curable.,0.962,1.0
Q21,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels.,1.627,0.8236082792282104
Q22,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable. ,1.639,0.9593093395233154
Q23,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin.,1.443,0.7847905158996582
Q24,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable. ,1.657,0.9593093395233154
Q25,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels.,1.091,0.8236082792282104
Q26,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin. ,1.278,0.7847904562950134
Q27,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable.,0.934,0.9593093395233154
Q28,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin is a hormone that regulates blood sugar.,1.605,1.0
Q29,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease. See your doctor.,1.354,0.7170236706733704
Q30,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes cannot be cured. See your doctor.,0.556,0.8630331158638
Q31,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes cannot be cured.,1.761,0.8975681066513062
Q32,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a chronic condition.,1.619,1.0000001192092896
Q33,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin is a hormone that regulates blood sugar.,1.253,1.0
Q34,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin.,1.155,0.7847905158996582
Q35,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease. This condition is serious.,1.239,0.8233791589736938
Q36,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes is not curable.,0.735,1.0
Q37,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin is a hormone that regulates blood sugar.,1.726,1.0
Q38,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable.,1.542,0.9593093395233154
Q39,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin.,0.58,0.7847905158996582
Q40,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes cannot be cured.,1.139,0.8975681066513062
Q41,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin helps control glucose levels.,1.457,0.8236082792282104
Q42,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable. See your doctor.,1.793,0.8691287040710449
Q43,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes can be prevented.,0.569,1.000000238418579
Q44,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes cannot be cured.,0.429,0.8975681066513062
Q45,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease. ,0.499,0.7932649850845337
Q46,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes is not curable.,0.499,1.0
Q47,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes can be prevented.,0.7,1.000000238418579
Q48,What is insulin?,Insulin is a hormone that regulates blood sugar.,en,Insulin is a hormone that regulates blood sugar.,1.207,1.0
Q49,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes can be prevented.,1.53,1.000000238418579
Q50,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease. See your doctor.,1.323,0.7170236706733704
Q51,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease. This condition is serious.,1.343,0.8233791589736938
Q52,Is Type 1 diabetes curable?,Type 1 diabetes is not curable.,en,Type 1 diabetes is not curable.,1.521,1.0
Q53,What causes high blood sugar?,Insulin resistance causes high blood sugar.,en,High sugar levels are caused by low insulin. This condition is serious.,0.666,0.7150721549987793
Q54,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable. See your doctor.,0.75,0.8691287040710449
Q55,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease.,0.471,0.7932650446891785
Q56,What is diabetes?,Diabetes is a chronic condition.,en,Diabetes is a long-term disease. This condition is serious.,1.697,0.8233791589736938
Q57,Can diabetes be prevented?,Type 2 diabetes can be prevented.,en,Type 2 diabetes is preventable. This condition is serious.,0.699,0.9074071645736694
